ID,CR
1,1246604.0176794017
2,1338177.712656059
3,1261666.1244204438
4,1308961.9382128334
5,1268869.2853160107
6,1328663.7382017768
7,1318595.2881644217
8,1309214.3910412928
9,1246024.2842722319
10,1198532.1106756653
11,1296115.4271796974
12,1307306.1558582836
13,1308806.240019137
14,1301089.6116808534
15,1332127.860935078
16,1320012.2688704247
17,1315802.8169068422
18,1300948.2953869123
19,1243943.924068736
20,1320925.9889261147
21,1289942.9727118567
22,1348115.321032074
23,1209570.5690942083
24,1345649.4475112904
25,1286284.5209310844
26,1293881.933759422
27,1316964.433517308
28,1304980.9233106233
29,1272694.716037885
30,1365218.4149090108
31,1348992.1035717248
32,1354460.5540681027
33,1307180.4114041596
34,1337809.7707526933
35,1331786.6221097803
36,1381374.0773328373
37,1326767.2379514333
38,1354311.6669576177
39,1308008.656433324
40,1234451.8516021662
41,1325769.8387822406
42,1328169.4778056398
43,1306952.2560831737
44,1335482.2360174453
45,1352258.0926105292
46,1335880.518409577
47,1356809.7729270225
48,1164403.2413720852
49,1312651.072147412
50,1369475.7981924703
51,1317229.2305647172
52,1363152.5294528927
53,1300586.4130583906
54,1330000.8190492287
55,1320260.0110818264
56,1347862.851840724
57,1312840.4483280138
58,1300656.1716967816
59,1274273.153314025
60,1350761.5472637562
61,1365931.206305427
62,1365060.2226767957
63,1242226.2013521614
64,1339583.7451059327
65,1342609.926744437
66,1339353.9458720142
67,1248729.411820541
68,1176482.8204494047
69,1323196.694812019
70,1311049.2118158527
71,1301986.355031233
72,1384724.4956376858
73,1306398.3084474083
74,1329607.70311087
75,1333933.404087443
76,1336744.6983347188
77,1314064.225118175
78,1245533.9797414057
79,1236741.4206387233
80,1246604.0176794017
81,1320019.9695100265
82,1339511.8069380051
83,1314270.2727686446
84,1311914.677294527
85,1298258.5124817006
86,1277009.1351888257
87,1254553.0297516012
88,1321666.2917488627
89,1312946.7830804766
90,1324168.4061882473
91,1294205.7559279657
92,1274703.5467039235
93,1327977.7358264886
94,1309065.2373173083
95,1316247.4951368503
96,1300918.3101385534
97,1058668.5678521104
98,877769.0883559099
99,753693.8414789806
100,790233.4079116611
101,914594.3805230599
102,1093402.1521032464
